BioNavigator Version	PamGrid Version	QuantitationType	per run_Mean	Protocol file name	METHOD-CC Main Analysis PoM1-9 reportDate	"Wed, 16 Sep 2020 08:55:01 GMT"				
ID	TrX_run1	TrX_run10	TrX_run2	TrX_run3	TrX_run4	TrX_run5	TrX_run6	TrX_run7	TrX_run8	TrX_run9
41_654_666	10.3279295	10.31181526	10.31655121	10.32179451	10.32380867	10.33337116	10.3196497	10.31402969	10.31473351	10.31108475
ACHD_383_395	6.712697983	6.713486671	6.717483997	6.710697174	6.707293987	6.709880829	6.71354866	6.713425636	6.715432644	6.715577602
AMPE_5_17	5.700530529	5.70416069	5.687479496	5.687911987	5.683061123	5.692678452	5.689101219	5.696460724	5.695223331	5.694334984
ANXA1_14_26	8.965353966	8.952173233	8.958415031	8.963376999	8.964626312	8.95189476	8.961598396	8.956137657	8.955885887	8.95984745
ANXA2_17_29	7.614456177	7.582180023	7.587359428	7.589501381	7.591629982	7.621108532	7.595070362	7.577415466	7.584152222	7.576579571
ART_004_EAIYAAPFAKKKXC	11.56018162	11.53376389	11.53231621	11.54805374	11.53253651	11.54255486	11.53952312	11.53120899	11.53131199	11.53551197
B3AT_39_51	6.222933292	6.225119114	6.231779099	6.218820572	6.222949982	6.23271656	6.222034931	6.222380638	6.223646164	6.214915752
C1R_199_211	5.875531673	5.883774757	5.877760887	5.870432854	5.872081757	5.869986534	5.872736454	5.880270481	5.878880978	5.875845432
CALM_93_105	5.313506126	5.322637558	5.326167107	5.313754082	5.308176517	5.319164276	5.310491562	5.322374821	5.318500996	5.305649757
CALM_95_107	6.814724445	6.817752838	6.822592258	6.81267786	6.819803715	6.818972111	6.817699909	6.819817543	6.819516182	6.815241337
CBL_693_705	8.905970573	8.898958206	8.890862465	8.90441227	8.899368286	8.915959358	8.908342361	8.894226074	8.899307251	8.922649384
CD3Z_116_128	8.423782349	8.449147224	8.44655323	8.448096275	8.457103729	8.453478813	8.454841614	8.459462166	8.45451355	8.468956947
CD3Z_146_158	7.771241188	7.779505253	7.774662495	7.780558109	7.779063225	7.780246735	7.780506611	7.782709599	7.779601097	7.790674686
CD79A_181_193	13.66039944	13.648839	13.64453506	13.65993786	13.65727139	13.65747166	13.65710163	13.6468668	13.646595	13.65597725
CDK2_8_20	11.5613308	11.54854202	11.54893494	11.55958843	11.56228828	11.5757122	11.55836296	11.55000114	11.55005646	11.54773712
CDK7_157_169	6.87462616	6.880437374	6.859795094	6.87747097	6.871798515	6.861426353	6.874767303	6.87240839	6.873856068	6.88921833
CRK_214_226	6.341847897	6.352376461	6.362150192	6.343955994	6.352936268	6.341807842	6.346394062	6.355648994	6.352798462	6.34147644
CTNB1_79_91	8.322272301	8.332629204	8.324224472	8.334197998	8.333884239	8.321278572	8.336993217	8.343297958	8.336435318	8.350335121
DCX_109_121	7.905686378	7.893563271	7.88581562	7.899116039	7.89043045	7.877136707	7.894068241	7.892386436	7.89371109	7.906031132
DDR1_506_518	5.277912617	5.288102627	5.254559517	5.280228138	5.258865356	5.276583195	5.27664566	5.275764942	5.275143147	5.286660671
DYR1A_212_224	5.797655106	5.789174557	5.788892746	5.783555031	5.77720356	5.779350281	5.783549309	5.784044743	5.786003113	5.779596329
DYR1A_312_324	7.013597012	7.006578922	7.002701759	7.007517815	7.00288868	7.013360023	7.008004665	7.00353384	7.007284641	7.016615391
EFS_246_258	12.59315777	12.57657242	12.56880283	12.59915733	12.59086418	12.58444691	12.5950098	12.57820988	12.57910156	12.58991528
EFS_246_258_Y253F	5.111871243	5.114699364	5.110268116	5.102888107	5.094819069	5.111032963	5.099996567	5.113043308	5.106645584	5.095866203
EGFR_1062_1074	5.172484398	5.174983978	5.176045418	5.161167145	5.1549716	5.176027298	5.1598773	5.168391228	5.165887833	5.149179935
EGFR_1103_1115	7.268470764	7.275477409	7.284682274	7.276462555	7.279707432	7.274451733	7.276860237	7.274845123	7.277822495	7.27923584
EGFR_1118_1130	6.171322346	6.159004211	6.162872791	6.153986931	6.153281689	6.173223972	6.157416821	6.151576996	6.155639648	6.145745754
EGFR_1165_1177	7.369068146	7.359503746	7.366551399	7.367521763	7.366069794	7.357936382	7.365416527	7.356974602	7.363142967	7.367424965
EGFR_1190_1202	7.047597408	7.049799919	7.055101395	7.049189091	7.057822227	7.050056934	7.052031994	7.054409504	7.053361893	7.046548367
EGFR_862_874	5.836678028	5.841080189	5.844611645	5.833022594	5.83342123	5.834929466	5.833068848	5.838639736	5.838067055	5.828672409
EGFR_908_920	5.67700243	5.693898201	5.693205357	5.680384636	5.683366299	5.68882513	5.684929848	5.692976475	5.692392349	5.690696239
ENOG_37_49	12.70103168	12.69679546	12.69023705	12.71094608	12.70966339	12.70682526	12.70719814	12.69650078	12.69684792	12.70839024
EPHA1_774_786	10.45135975	10.42611217	10.43864441	10.44448662	10.44562721	10.45091057	10.44049072	10.42199898	10.42869759	10.41908264
EPHA2_581_593	5.436040878	5.42571497	5.413873672	5.431151867	5.413043976	5.425869465	5.424089432	5.418284416	5.417140961	5.418840885
EPHA2_765_777	10.69052696	10.67005253	10.67566872	10.68429947	10.68639851	10.69360065	10.68367958	10.66606998	10.67088127	10.66662693
EPHA4_589_601	6.213303566	6.22144556	6.222517014	6.210370064	6.212664127	6.20676136	6.213372231	6.222723961	6.219256878	6.214962006
